TCP,192.168.3.131:56027,65.54.95.140:80,10,3609,6,6068,56.027297
UDP,192.168.3.131:57757,239.255.255.250:1900,6,996,0,0,22.531997
TCP,192.168.3.131:56022,65.55.206.199:80,14,2255,26,37163,68.601394
TCP,192.168.3.131:56026,65.54.95.140:80,7,2228,5,6509,23.445089
TCP,192.168.3.131:56049,206.108.207.163:80,4,780,3,1931,1.711642
TCP,192.168.3.131:56035,65.55.118.107:80,4,899,2,431,21.487078
TCP,192.168.3.131:56036,65.54.95.140:80,22,3702,12,45525,40.913763
TCP,192.168.3.131:56039,65.54.95.140:80,12,3104,6,17991,36.065866
TCP,192.168.3.131:56053,66.235.133.62:80,3,186,5,3006,9.452200
TCP,192.168.3.131:52204,72.14.213.102:443,6,542,5,2337,4.526874
TCP,192.168.3.131:56056,65.54.95.39:80,4,901,4,3909,2.703462
TCP,192.168.3.131:56044,65.54.95.216:80,11,1190,6,18455,12.953486
TCP,192.168.3.131:56058,206.108.207.138:80,7,1158,3,16240,6.487128
TCP,192.168.3.131:56048,66.220.149.32:80,3,186,3,491,6.820264
TCP,192.168.3.131:55959,65.55.5.231:80,8,2590,4,3452,160.774208
TCP,192.168.3.131:55957,65.55.5.232:80,10,3345,5,5043,183.794580
TCP,192.168.3.131:56040,65.54.95.140:80,11,3047,6,16031,36.059496
TCP,192.168.3.131:55953,65.55.206.209:80,4,701,2,410,16.954930
TCP,192.168.3.131:52205,72.14.213.102:443,6,542,4,2283,4.527013
TCP,192.168.3.131:56054,206.108.207.145:80,4,912,3,469,7.222772
TCP,192.168.3.131:56028,65.54.95.142:80,5,922,3,5266,0.159784
TCP,192.168.3.131:52206,72.14.213.102:443,6,542,4,2283,4.539552
TCP,192.168.3.131:55962,65.55.5.232:80,6,1724,3,2828,144.713977
TCP,192.168.3.131:56033,65.54.95.140:80,4,825,2,1087,17.708316
TCP,192.168.3.131:55961,184.24.133.32:80,4,944,3,702,5.187221
TCP,192.168.3.131:52152,72.14.213.147:443,26,2558,44,33108,132.179968
TCP,192.168.3.131:55971,65.55.17.37:80,5,1509,3,1449,8.365481
TCP,192.168.3.131:56041,65.54.95.140:80,14,2633,9,23693,26.926027
TCP,192.168.3.131:56051,207.46.0.109:80,6,2329,11,7708,10.490809
TCP,192.168.3.131:56055,65.54.95.39:80,5,959,4,4893,4.071049
TCP,192.168.3.131:56031,65.54.95.140:80,4,835,2,1580,17.711446
TCP,192.168.3.131:56037,65.54.95.140:80,20,2993,9,41392,29.630666
TCP,192.168.3.131:52207,72.14.213.102:443,6,542,4,2283,6.683853
TCP,192.168.3.131:55968,72.14.213.101:80,6,2008,4,542,8.894489
TCP,192.168.3.131:52202,72.14.213.102:443,43,3766,53,71694,14.454188
TCP,192.168.3.131:55967,63.215.202.49:80,4,880,4,4424,1.009683
TCP,192.168.3.131:56034,65.55.206.199:80,6,987,6,6278,21.494587
TCP,192.168.3.131:56057,65.54.95.66:80,4,1137,4,3170,1.012580
TCP,192.168.3.131:56030,65.54.95.140:80,4,833,2,1136,19.430307
TCP,192.168.3.131:55966,63.215.202.48:80,4,755,2,738,1.590285
TCP,192.168.3.131:52201,72.14.213.102:443,6,542,4,2283,4.055871
TCP,192.168.3.131:52203,72.14.213.102:443,6,542,4,2283,4.055746
TCP,192.168.3.131:56012,65.54.95.140:80,17,1417,8,39775,3.682579
TCP,192.168.3.131:55972,207.46.216.54:80,8,2180,4,852,86.440318
TCP,192.168.3.131:56032,65.54.95.140:80,4,824,2,1081,17.704850
TCP,192.168.3.131:55958,65.55.239.163:80,6,1627,3,990,146.917982
TCP,192.168.3.131:56021,66.235.139.121:80,6,1695,8,2985,63.175634
TCP,192.168.3.131:56029,65.54.95.142:80,7,1645,4,7109,1.890057
TCP,192.168.3.131:56023,184.24.143.139:80,4,737,3,443,2.397987
TCP,192.168.3.131:56038,65.54.95.140:80,11,2450,5,14500,26.907042
TCP,192.168.3.131:56050,66.235.139.121:80,2,126,1,66,0.012579
